"","dates","ret"
"1",1986-04-01,2.91
"2",1986-07-01,2.78
"3",1986-10-01,2.81
"4",1987-01-01,2.775
"5",1987-04-01,2.16
"6",1987-07-01,2.18
"7",1987-10-01,1.82
"8",1988-01-01,2.385
"9",1988-04-01,2.17
"10",1988-07-01,2.2
"11",1988-10-01,1.62
"12",1989-01-01,1.55
"13",1989-04-01,1.31
"14",1989-07-01,1.83
"15",1989-10-01,1.62
"16",1990-01-01,1.91
"17",1990-04-01,1.58
"18",1990-07-01,1.79
"19",1990-10-01,1.96
"20",1991-01-01,2.385
"21",1991-04-01,1.95
"22",1991-07-01,1.66
"23",1991-10-01,1.97
"24",1992-01-01,2.36
"25",1992-04-01,1.75
"26",1992-07-01,1.9
"27",1992-10-01,2.39
"28",1993-01-01,2.075
"29",1993-04-01,2.18
"30",1993-07-01,2.16
"31",1993-10-01,2.02
"32",1994-01-01,1.94
"33",1994-04-01,1.555
"34",1994-07-01,1.51
"35",1994-10-01,1.5
"36",1995-01-01,1.3
"37",1995-04-01,1.49
"38",1995-07-01,1.74
"39",1995-10-01,1.71
"40",1996-01-01,1.79
"41",1996-04-01,1.79
"42",1996-07-01,1.5
"43",1996-10-01,1.52
"44",1997-01-01,1.53
"45",1997-04-01,1.41
"46",1997-07-01,1.51
"47",1997-10-01,1.55
"48",1998-01-01,1.535
"49",1998-04-01,1.7
"50",1998-07-01,1.67
"51",1998-10-01,2.62
"52",1999-01-01,2.595
"53",1999-04-01,2.32
"54",1999-07-01,2.13
"55",1999-10-01,2.26
"56",2000-01-01,1.73
"57",2000-04-01,2.3
"58",2000-07-01,2.4
"59",2000-10-01,2.54
"60",2001-01-01,2.935
"61",2001-04-01,3.04
"62",2001-07-01,2.65
"63",2001-10-01,3.44
"64",2002-01-01,2.835
"65",2002-04-01,2.78
"66",2002-07-01,3.14
"67",2002-10-01,3.74
"68",2003-01-01,3.425
"69",2003-04-01,3.02
"70",2003-07-01,2.81
"71",2003-10-01,2.56
"72",2004-01-01,2.33
"73",2004-04-01,2.27
"74",2004-07-01,2.12
"75",2004-10-01,2.09
"76",2005-01-01,1.86
"77",2005-04-01,1.65
"78",2005-07-01,1.83
"79",2005-10-01,1.81
"80",2006-01-01,1.82
"81",2006-04-01,1.69
"82",2006-07-01,1.67
"83",2006-10-01,1.72
"84",2007-01-01,1.64
"85",2007-04-01,1.75
"86",2007-07-01,1.59
"87",2007-10-01,1.99
"88",2008-01-01,2.53
"89",2008-04-01,3.43
"90",2008-07-01,3.06
"91",2008-10-01,4.1
"92",2009-01-01,5.77
"93",2009-04-01,5.7
"94",2009-07-01,3.65
"95",2009-10-01,2.9
"96",2010-01-01,2.54
"97",2010-04-01,2.44
"98",2010-07-01,3.02
"99",2010-10-01,3.07
"100",2011-01-01,2.68
"101",2011-04-01,2.58
"102",2011-07-01,2.69
"103",2011-10-01,3.3
"104",2012-01-01,3.27
"105",2012-04-01,3.07
"106",2012-07-01,3.39
"107",2012-10-01,3.06
"108",2013-01-01,2.85
"109",2013-04-01,2.91
"110",2013-07-01,2.83
"111",2013-10-01,2.76
"112",2014-01-01,2.335
"113",2014-04-01,2.26
"114",2014-07-01,2.19
"115",2014-10-01,2.31
"116",2015-01-01,2.51
"117",2015-04-01,2.55
"118",2015-07-01,2.83
"119",2015-10-01,3.31
"120",2016-01-01,3.235
"121",2016-04-01,3.1
"122",2016-07-01,2.86
"123",2016-10-01,2.69
"124",2017-01-01,2.28
"125",2017-04-01,2.24
"126",2017-07-01,2.09
"127",2017-10-01,2
"128",2018-01-01,1.775
"129",2018-04-01,1.855
"130",2018-07-01,1.99
"131",2018-10-01,1.83
"132",2019-01-01,2.45
"133",2019-04-01,2.24
"134",2019-07-01,2.29
"135",2019-10-01,2.22
"136",2020-01-01,2.21
