"","Dates","KOR","AUS","ISL","GBR","DNK","ESP","JPN","NOR","CAN","FIN","NLD","USA","MEX","BEL","DEU","LUX","PRT","ITA","AUT","IRL","CHE","SWE","FRA","GRC"
"1",1996-01-01,0.2274623,0.056123,-0.297868521317707,0,0.2682044,0,0.0631512,0,0.4166088,0.0900657,0.1216545,0.1085541,0.1335827,0,0.1432357,-0.297868521317707,0.1485001,0.0641313,0.2981959,0.2436647,0.1661406,0.0935891,0.1013377,0
"2",1996-04-01,0.07373,0,-0.491931277376489,0,0.1423488,0.1137333,0.1241773,0.097924,0.1177094,0.1627207,0.2359325,0.1541941,0,0.072759,0.2106889,-0.491931277376489,0.0981451,0.0754148,0.28931,0,0.1353546,0,0,0.0735889
"3",1996-07-01,0,0.0722178,-0.546062597863606,0.1042862,0.1396258,0.1120699,0.2059167,0,0,0,0.1891432,0.0578202,0,0,0,-0.546062597863606,0.0448612,0,0.2813137,0.0958405,0.2339911,0.0807168,0.2321802,0.0673446
"4",1996-10-01,0.1256202,0.0575175,-0.694807464735765,0,0.1332534,0.0541624,0.2148074,0,0.1202863,0,0.0618276,0.1284274,0,0,0.0612482,-0.694807464735765,0.0491473,0.0591821,0.1429184,0,0.0753636,0,0.1379405,0
"5",1997-01-01,0.2880807,0.1316569,-0.459525692255347,0.2001,0.1387347,0.0587406,0.2944294,0,0.0657678,0,0.0618697,0.1601965,0,0,0.0625469,-0.459525692255347,0.0526011,0.1981375,0.1290406,0,0.0846525,0.0760688,0.1457195,0
"6",1997-04-01,0.2132196,0.0641272,-0.208857271360529,0,0.0750525,0.0697837,0.0618697,0,0.5077288,0.1692047,0.0607681,0.1016209,0,0,0.4554327,-0.208857271360529,0.1090929,0.0620424,0.4230118,0.1523229,0.3304693,0.1354004,0.1320568,0.0495638
"7",1997-07-01,0,0,-0.295403396254605,0.1061909,0.0716486,0.1834189,0.1613077,0,0.1844565,0.0746547,0.2742581,0.1617164,0.063597,0.1315963,0.2367845,-0.295403396254605,0,0,0.1988467,0,0.649298,0.2263809,0.270966,0
"8",1997-10-01,0,0,-0.438658545515673,0.0992654,0.0872829,0.1733302,0.129828,0.1370238,0.1304461,0,0.054939,0.3388108,0.0558628,0,0.1107481,-0.438658545515673,0,0,0.2016807,0,0.3111872,0.4978014,0.1435647,0
"9",1998-01-01,0,0.0654707,-0.290059995587638,0.3797949,0.1620746,0.0492999,0.1182942,0,0.1495551,0.1944958,0.0569736,0.1733403,0.1042535,0.2684384,0.1203297,-0.290059995587638,0.0458274,0.1153403,0.2650235,0,0.2709782,0.0782595,0,0.1819947
"10",1998-04-01,0,0.2092634,-0.512466949589568,0.1906033,0,0.0590458,0.1439125,0.2660282,0,0,0.1073019,0.241648,0.0568796,0.4957156,0.1847404,-0.512466949589568,0,0.0632871,0.1402131,0,0,0,0.0722126,0.0662647
"11",1998-07-01,0.1507954,0,-0.294261869787042,0.0906454,0.3976143,0.1890359,0.0547016,0.2734482,0,0,0.2339729,0.0563761,0.0620347,0,0.1189061,-0.294261869787042,0,0.3564554,0.3965893,0,0,0.1591596,0.0750525,0.1915831
"12",1998-10-01,0,0,-0.463007234585476,0,0.1590963,0.0582072,0.1479436,0.6665186,0.0710934,0.0808865,0.0539025,0.1792757,0.1153802,0,0.0570028,-0.463007234585476,0.1362398,0,0.3350533,0.0663746,0.0747328,0.0795798,0.0704622,0
"13",1999-01-01,0.0680272,0,-0.660714443867212,0,0,0.0536423,0.1132439,0.2461236,0,0,0.1105767,0.2251872,0.0537808,0.0638081,0,-0.660714443867212,0.1373375,0.0793903,0.11956,0,0.2155637,0,0.0632791,0.1148501
"14",1999-04-01,0,0.124805,-0.62136331002895,0.0923958,0,0,0.1481994,0.1183292,0.0667067,0,0,0.1867181,0,0.056654,0.0594106,-0.62136331002895,0.2181882,0.2359418,0.1137915,0,0,0.0715666,0.0619233,0.119782
"15",1999-07-01,0,0,-0.789183421635686,0,0,0,0.0537346,0.2203371,0.0695555,0,0,0,0.2238138,0,0.0579777,-0.789183421635686,0.1367179,0,0.1679449,0.1510802,0,0,0,0
"16",1999-10-01,0.0709522,0.1850595,-0.548522427043404,0.1401345,0,0.0620309,0.1046956,0.1826985,0.1523461,0,0.1145607,0.1314492,0,0,0.0537634,-0.548522427043404,0,0.1372307,0.3786683,0,0.0634921,0.0687569,0.1215732,0
