"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.693625,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.17741,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.356584,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.363084,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.732273,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.943782,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.903365,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.560295,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.917923,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.695914,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.467171,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.106479,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.067109,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.457317,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.913806,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.680233,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.424861,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.898025,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.279798,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.263261,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.199038,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.831772,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.783031,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.855477,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.895868,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.598659,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.599219,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.866447,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.218349,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.458993,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.267658,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.50324,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.0402,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.55059,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.189028,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.6433,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.929334,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.36592,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.128546,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.389673,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.680332,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.090021,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.320703,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.887423,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.158054,
"OECD","QGDP","TOT","PC_CHGPP","A","2007",2.654611,
"OECD","QGDP","TOT","PC_CHGPP","A","2008",0.331058,
"OECD","QGDP","TOT","PC_CHGPP","A","2009",-3.403649,
"OECD","QGDP","TOT","PC_CHGPP","A","2010",3.022084,
"OECD","QGDP","TOT","PC_CHGPP","A","2011",2.040528,
"OECD","QGDP","TOT","PC_CHGPP","A","2012",1.347557,
"OECD","QGDP","TOT","PC_CHGPP","A","2013",1.557043,
"OECD","QGDP","TOT","PC_CHGPP","A","2014",2.188422,
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.569221,
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.85634,
"OECD","QGDP","TOT","PC_CHGPP","A","2017",2.645854,
"OECD","QGDP","TOT","PC_CHGPP","A","2018",2.331584,
"EST","QGDP","TOT","PC_CHGPP","A","1996",4.935971,
"EST","QGDP","TOT","PC_CHGPP","A","1997",13.046536,
"EST","QGDP","TOT","PC_CHGPP","A","1998",4.330296,
"EST","QGDP","TOT","PC_CHGPP","A","1999",-0.403435,
"EST","QGDP","TOT","PC_CHGPP","A","2000",10.106519,
"EST","QGDP","TOT","PC_CHGPP","A","2001",5.970261,
"EST","QGDP","TOT","PC_CHGPP","A","2002",6.802392,
"EST","QGDP","TOT","PC_CHGPP","A","2003",7.566691,
"EST","QGDP","TOT","PC_CHGPP","A","2004",6.767457,
"EST","QGDP","TOT","PC_CHGPP","A","2005",9.490297,
"EST","QGDP","TOT","PC_CHGPP","A","2006",9.718758,
"EST","QGDP","TOT","PC_CHGPP","A","2007",7.573581,
"EST","QGDP","TOT","PC_CHGPP","A","2008",-5.088943,
"EST","QGDP","TOT","PC_CHGPP","A","2009",-14.433868,
"EST","QGDP","TOT","PC_CHGPP","A","2010",2.706903,
"EST","QGDP","TOT","PC_CHGPP","A","2011",7.441584,
"EST","QGDP","TOT","PC_CHGPP","A","2012",3.110235,
"EST","QGDP","TOT","PC_CHGPP","A","2013",1.346188,
"EST","QGDP","TOT","PC_CHGPP","A","2014",2.987326,
"EST","QGDP","TOT","PC_CHGPP","A","2015",1.844885,
"EST","QGDP","TOT","PC_CHGPP","A","2016",2.631568,
"EST","QGDP","TOT","PC_CHGPP","A","2017",5.748802,
"EST","QGDP","TOT","PC_CHGPP","A","2018",4.761159,
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q1",7.45029,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q2",5.002099,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q3",3.57695,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q4",2.996161,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q1",3.466854,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q2",5.112241,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q3",5.465212,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q4",4.759933,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q1",-0.372461,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q2",3.021411,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q3",4.102017,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q4",4.832455,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q1",10.127128,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q2",6.688293,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q3",4.182534,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q4",5.091161,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q1",5.36137,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q2",5.732237,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q3",5.341683,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q4",4.549873,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q1",4.73437,"E"
