,AUT,AUS,BEL,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,ITA,JPN,LUX,MEX,NLD,NOR,PRT,SWE,USA
31.03.1955,,,,,,,,,,,,,2.3,,,,,,,
30.06.1955,,,,,,,,,,,,,,,,,,,,
30.09.1955,,,,,,,,,,,,,2.4,,,,,,,
31.12.1955,,,,,,,,,,,,,,,,,,,,
31.03.1956,,,,,,,,,,,,,2.6,,,,,,,
30.06.1956,,,,,,,,,,,,,,,,,,,,
30.09.1956,,,,,,,,,,,,,2.9,,,,,,,
31.12.1956,,,,,,,,,,,,,,,,,,,,
31.03.1957,,,,,,,,,,,,,3.3,,,,,,,
30.06.1957,,,,,,,,,,,,,,,,,,,,
30.09.1957,,,,,,,,,,,,,3.7,,,,,,,
31.12.1957,,,,,,,,,,,,,,,,,,,,
31.03.1958,,,,,,,,,,,,,4.1,,,,,,,
30.06.1958,,,,,,,,,,,,,,,,,,,,
30.09.1958,,,,,,,,,,,,,4.6,,,,,,,
31.12.1958,,,,,,,,,,,,,,,,,,,,
31.03.1959,,,,,,,,,,,,,5,,,,,,,
30.06.1959,,,,,,,,,,,,,,,,,,,,
30.09.1959,,,,,,,,,,,,,5.6,,,,,,,
31.12.1959,,,,,,,,,,,,,,,,,,,,
31.03.1960,,,,,,,,,,,,,6.2,,,,,,,
30.06.1960,,,,,,,,,,,,,,,,,,,,
30.09.1960,,,,,,,,,,,,,7.1,,,,,,,
31.12.1960,,,,,,,,,,,,,,,,,,,,
31.03.1961,,,,,,,,,,,,,8.5,,,,,,,
30.06.1961,,,,,,,,,,,,,,,,,,,,
30.09.1961,,,,,,,,,,,,,9.9,,,,,,,
31.12.1961,,,,,,,,,,,,,,,,,,,,
31.03.1962,,,,,,,,,,,,,10.8,,,,,,,
30.06.1962,,,,,,,,,,,,,,,,,,,,
30.09.1962,,,,,,,,,,,,,11.7,,,,,,,
31.12.1962,,,,,,,,,,,,,,,,,,,,
31.03.1963,,,,,,,,,,,,,12.5,,,,,,,
30.06.1963,,,,,,,,,,,,,,,,,,,,
30.09.1963,,,,,,,,,,,,,13.3,,,,,,,
