Row,Historical_1,Historical_2,Historical_3,Historical_4,Historical_5,Historical_6,Historical_7,QRFIN_1,QRFIN_2,QRFIN_3,QRFIN_4,QRFIN_5,QRFIN_6,QRFIN_7,GARCH_1,GARCH_2,GARCH_3,GARCH_4,GARCH_5,GARCH_6,GARCH_7
AUS,99.2248062015504,5.03604815714681,0.0270869859986307,0.0945393703324468,0,0,0,99.2248062015504,5.08075399887236,0.0270869859986307,0.0964774112461359,0,0,0,98.4496124031008,4.65237972155928,0.0678163884336305,0.0805746574221977,1,1,1
CAN,96.1240310077519,3.74352123601568,0.669119402676728,0.0959614459099837,0,0,0,96.1240310077519,3.84482127348733,0.669119402676728,0.0953482544765749,0,0,0,93.0232558139535,3.36446056213004,0.527418398841543,0.0991798921520388,0,0,0
DEU,96.8992248062015,4.81898545498,0.357247643752884,0.126367927328471,0,0,0,95.3488372093023,4.61180143619966,0.859019824998658,0.126906036806673,0,0,0,97.6744186046512,4.94257501367574,0.205154525151383,0.13774755312379,0,0,0
ESP,89.922480620155,5.18945330163248,0.155322174929263,0.110167840073095,0,0,0,81.3953488372093,5.04344398007478,0.026077263704381,0.154245780310727,0,0,0,89.922480620155,5.06778721370157,0.204733402547879,0.114180878666774,0,0,0
FRA,93.0232558139535,3.82202557539698,0.485047814052862,0.0662252798800484,0,0,0,89.922480620155,3.9086177174711,0.25598979239185,0.0781304155819195,0,0,0,96.1240310077519,4.20234392061323,0.69921683364827,0.0743802059242478,0,0,0
GBR,97.6744186046512,5.37596639649286,0.288328491611169,0.103928588191345,0,0,0,95.3488372093023,5.15907415565544,0.905664014142097,0.100610234720248,0,0,0,96.1240310077519,4.99099014997496,0.69921683364827,0.107788961029669,0,0,0
ITA,90.6976744186047,3.74586899009216,0.225916036888035,0.0950803521920882,0,0,0,86.8217054263566,3.60566803571526,0.00860156000267442,0.114523438899752,0,0,0,91.4728682170543,3.76022843501895,0.25252054933349,0.102521072422852,0,0,0
JPN,86.8217054263566,4.6174280673514,9.07241023762051e-05,0.150831697670911,0,0,0,89.922480620155,4.89343043069976,0.0567463959173347,0.152494169647176,0,0,0,92.2480620155039,5.06790194354101,0.298633817578757,0.138096931327656,0,0,0
KOR,97.6744186046512,9.10229404018217,0.148453586386182,0.219395551010166,0,0,0,96.1240310077519,8.53659659713697,0.582054775574687,0.237588864923544,0,0,0,95.3488372093023,8.09167917638174,0.882536375206681,0.202585738283282,0,0,0
MEX,93.7984496124031,4.24759890580761,0.655229877413353,0.223943648860601,0,0,0,96.8992248062015,4.81328486436685,0.357247643752884,0.202931794806227,0,0,0,87.5968992248062,3.63714785663652,0.00749268156940885,0.250341254652194,0,0,0
SWE,97.6744186046512,5.81096536723572,0.205154525151383,0.13629550514457,0,0,0,96.1240310077519,5.90489055309477,0.622101931443529,0.155977007145804,0,0,0,97.6744186046512,5.74742304534192,0.26084448254562,0.14179287106512,0,0,0
USA,97.6744186046512,3.39581310133722,0.288328491611169,0.092565168352665,0,0,0,94.5736434108527,3.15408570346087,0.874300244229115,0.0946212054511447,0,0,0,95.3488372093023,3.00292978463729,0.905664014142097,0.0878207422118553,0,0,0
