Row,UniformCoverage,Length,UC,DQ,DQFin,DQReal
Historical,90,7.90855262695629,0.0537678541057556,1,0.0121296669946414,1
QR-NFCI,51.5384615384615,6.5699248104829,0,1,0,4.10782519111308e-15
QR-NFCI+TS,38.4615384615385,6.26692445386432,0,0,0,2.1094237467878e-15
QR-NFCI+GF+TS,36.9230769230769,6.10898265167204,0,0,0,0
Full,33.0769230769231,5.93238426265743,0,0,0,0
Lasso,33.8461538461538,7.14553807613823,0,0,0,1.52988732793347e-12
GARCH + BJPR,95.3846153846154,8.50325642889374,0.873789682984065,0.0326857327178298,0.509106728752166,0.916791484581172
GJR-GARCH + BJPR,95.3846153846154,8.46965914992473,0.873789682984065,0.0326857327178298,0.509106728752166,0.916791484581172
F-GARCH + BJPR,96.1538461538462,8.1570541452838,0.605331861568776,0.982046758526238,0.532460299711945,0.945982754940265
GARCH + Bonf.,91.5384615384615,8.32337997286038,0.236910569643516,1,1,1
GJR-GARCH + Bonf.,91.5384615384615,8.28663411716594,0.236910569643516,1,1,1
F-GARCH + Bonf.,93.8461538461538,8.10775773264638,0.630638223759992,0.862274501056119,0.32206880784916,0.871216516525002
GARCH + Marg,39.2307692307692,5.22517160648437,0,1,0,0
GJR-GARCH + Marg,39.2307692307692,5.22426400397711,0,1,0,0
F-GARCH + Marg,39.2307692307692,5.2168573180536,0,0,0,0
